OBJECTID,SQUARE,SUFFIX,RES,PAR,LOT,CONDO_REGIME,SSL,DESCRIPTION,CAPTUREYEAR,CAPTUREACTION,AREA_NEW,CENTROIDX,CENTROIDY,MINLAT,MAXLAT,MINLONG,MAXLONG,NSSL,UBID,NUBID,LINK_TYPE,LINK_TYPE_DESCRIPTION,GIS_ID,SE_ANNO_CAD_DATA,CREATOR,CREATED,EDITOR,EDITED,WARD,GLOBALID,SHAPE_Length,SHAPE_Area
486447,0079, , , ,0005, ,0079    0005,Building,2015/04/24 00:00:00+00,E,3741.29749221,-77.0476286,38.8985969,38.89845491,38.8987453,-77.04769009,-77.04756057,1,87C4VXX2+CWQ-6-3-5-2,1,1,One Building One Lot,UBIDPly_705,,,,,,2,{36949EE6-BC4A-4704-E063-792F520AC09B},110.793351454901,559.349458229415
486448,5052, , , ,0014, ,5052    0014,Building,2019/04/23 00:00:00+00,A,1739.72224169,-76.94783876,38.89698488,38.89645452,38.89748987,-76.94843209,-76.94726586,8,87C5V3W2+QVV-20-18-21-19,1,3,One Building Many Lots,UBIDPly_52069,,,,,,7,{36949EE6-BC4B-4704-E063-792F520AC09B},68.3685086865138,263.703259017779
486449,0455, , , ,0047, ,0455    0047,Building,2015/04/24 00:00:00+00,E,215011.549948,-77.0209527,38.89810455,38.89749859,38.89874441,-77.02176636,-77.02011457,2,87C4VXXH+6JV-25-27-25-26,1,3,One Building Many Lots,UBIDPly_688,,,,,,2,{36949EE6-BC4C-4704-E063-792F520AC09B},754.850301098112,31575.2214066568
486450,5194, , , ,0823, ,5194    0823,Building,2019/04/23 00:00:00+00,A,180.08612044,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53470,,,,,,7,{36949EE6-BC4D-4704-E063-792F520AC09B},21.1248378777422,27.6629028108128
486451,5194, , , ,0823, ,5194    0823,Building,2015/04/24 00:00:00+00,E,189.57369953,-76.92837103,38.89874882,38.89863962,38.89885802,-76.928396,-76.92834606,8,87C5V3XC+FMR-5-0-4-1,1,3,One Building Many Lots,UBIDPly_53466,,,,,,7,{36949EE6-BC4E-4704-E063-792F520AC09B},21.9819717536841,29.1150769747913
486452,5197, , , ,0073, ,5197    0073,Building,2015/04/24 00:00:00+00,E,4497.24636366,-76.92593171,38.89859015,38.89849986,38.89867427,-76.92606727,-76.92580577,1,87C5V3XF+CJP-3-4-4-5,1,1,One Building One Lot,UBIDPly_59123,,,,,,7,{36949EE6-BC4F-4704-E063-792F520AC09B},107.807004748346,690.788695864569
486453,5147, , , ,0803, ,5147    0803,Building,2015/04/24 00:00:00+00,E,1561.80158242,-76.93338717,38.89859869,38.89852836,38.8986688,-76.93341546,-76.93335862,1,87C5V3X8+CJQ-3-1-2-1,1,1,One Building One Lot,UBIDPly_52890,,,,,,7,{36949EE6-BC50-4704-E063-792F520AC09B},52.6958223128687,126.066723637371
486454,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,1517.8197861,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12472,,,,,,5,{36949EE6-BC51-4704-E063-792F520AC09B},68.0003040284271,233.143469062491
486455,PAR,0160, ,0160,0036, ,PAR 01600036,Building,2015/04/24 00:00:00+00,E,1452.7347812,-76.97212387,38.89895061,38.89881071,38.89909023,-76.97218823,-76.97204184,12,87C5V2XH+H5J-5-2-6-3,1,3,One Building Many Lots,UBIDPly_12468,,,,,,5,{36949EE6-BC52-4704-E063-792F520AC09B},66.6754549976806,223.137923897087
486456,4486, , , ,0802, ,4486    0802,Building,2017/03/09 00:00:00+00,E,2239.85852645,-76.97145858,38.8998327,38.89974192,38.89992377,-76.97155055,-76.9713665,7,87C5V2XH+WCM-3-3-4-3,1,3,One Building Many Lots,UBIDPly_183875,,,,,,5,{36949EE6-BC53-4704-E063-792F520AC09B},79.9903164816251,344.045831975415
